name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Venice,01/05/2021 07:00:00 AM,,nord,100,overcast clouds,1010,93,286.93,0.31,0.0,30,3.8
Rome,01/05/2021 07:00:00 AM,,centro_sud,100,overcast clouds,1010,74,289.31,0.0,0.0,72,1.08
Provincia di Ancona,01/05/2021 07:00:00 AM,,centro_nord,89,overcast clouds,1010,86,287.49,0.0,0.0,310,1.03
Province of Turin,01/05/2021 07:00:00 AM,,nord,98,overcast clouds,1010,86,281.31,0.0,0.0,301,0.94
Milan,01/05/2021 07:00:00 AM,,nord,96,overcast clouds,1010,94,285.79,0.14,0.0,193,1.32
Naples,01/05/2021 07:00:00 AM,,sud,99,overcast clouds,1011,60,291.8,0.0,0.0,147,2.43
Potenza,01/05/2021 07:00:00 AM,,sud,100,overcast clouds,1012,63,288.42,0.0,0.0,200,4.5
Florence,01/05/2021 07:00:00 AM,,centro_nord,100,overcast clouds,1010,87,286.35,0.0,0.0,80,0.35
Trento,01/05/2021 07:00:00 AM,,nord,63,broken clouds,1011,93,284.67,0.12,0.0,43,1.26
L'Aquila,01/05/2021 07:00:00 AM,,centro_sud,100,overcast clouds,1011,69,287.19,0.0,0.0,206,1.17
Provincia di Campobasso,01/05/2021 07:00:00 AM,,centro_sud,100,overcast clouds,1011,65,287.87,0.0,0.0,225,2.84
Trieste,01/05/2021 07:00:00 AM,,nord,100,overcast clouds,1011,90,287.0,0.24,0.0,94,1.63
Sardinia,01/05/2021 07:00:00 AM,,sardegna,100,overcast clouds,1009,76,287.62,0.13,0.0,120,2.03
Bologna,01/05/2021 07:00:00 AM,,nord,100,overcast clouds,1010,83,286.26,0.0,0.0,308,0.57
Province of Palermo,01/05/2021 07:00:00 AM,,sicilia,98,overcast clouds,1012,46,293.29,0.0,0.0,223,1.12
Provincia di Perugia,01/05/2021 07:00:00 AM,,centro_nord,100,overcast clouds,1010,86,287.48,0.0,0.0,135,0.55
Bari,01/05/2021 07:00:00 AM,,sud,100,overcast clouds,1010,72,291.23,0.0,0.0,189,2.79
Catanzaro,01/05/2021 07:00:00 AM,,calabria,92,overcast clouds,1013,58,294.28,0.0,0.0,294,1.06
Provincia di Genova,01/05/2021 07:00:00 AM,,nord,80,broken clouds,1010,91,281.37,0.11,0.0,41,1.1
Provincia di Ancona,01/05/2021 08:00:00 AM,,centro_nord,91,overcast clouds,1010,82,288.85,0.0,0.0,195,0.29
Trento,01/05/2021 08:00:00 AM,,nord,61,broken clouds,1011,88,286.83,0.12,0.0,356,0.37
Province of Turin,01/05/2021 08:00:00 AM,,nord,97,overcast clouds,1010,85,281.92,0.0,0.0,36,0.63
Catanzaro,01/05/2021 08:00:00 AM,,calabria,90,overcast clouds,1013,55,297.1,0.0,0.0,262,0.57
L'Aquila,01/05/2021 08:00:00 AM,,centro_sud,100,overcast clouds,1012,69,287.89,0.0,0.0,199,1.87
Milan,01/05/2021 08:00:00 AM,,nord,96,overcast clouds,1010,92,286.5,0.14,0.0,216,0.52
Province of Palermo,01/05/2021 08:00:00 AM,,sicilia,99,overcast clouds,1013,49,294.65,0.0,0.0,276,1.83
Provincia di Perugia,01/05/2021 08:00:00 AM,,centro_nord,100,overcast clouds,1010,84,288.52,0.0,0.0,141,1.42
Valle d'Aosta,01/05/2021 08:00:00 AM,,nord,99,overcast clouds,1010,86,276.76,0.0,0.0,83,1.17
Rome,01/05/2021 08:00:00 AM,,centro_sud,100,overcast clouds,1011,72,289.97,0.0,0.0,67,1.1
Bologna,01/05/2021 08:00:00 AM,,nord,100,overcast clouds,1010,80,287.57,0.0,0.0,306,1.09
Venice,01/05/2021 08:00:00 AM,,nord,92,overcast clouds,1010,89,288.06,0.31,0.0,37,4.48
Trieste,01/05/2021 08:00:00 AM,,nord,100,overcast clouds,1010,89,288.07,0.24,0.0,78,1.7
Provincia di Genova,01/05/2021 08:00:00 AM,,nord,82,broken clouds,1010,86,284.07,0.11,0.0,33,0.63
Sardinia,01/05/2021 08:00:00 AM,,sardegna,100,light rain,1010,81,287.55,0.13,0.0,135,2.8
Provincia di Campobasso,01/05/2021 08:00:00 AM,,centro_sud,98,overcast clouds,1012,68,290.46,0.0,0.0,224,3.2
Bari,01/05/2021 08:00:00 AM,,sud,100,overcast clouds,1010,63,292.83,0.0,0.0,212,3.69
Naples,01/05/2021 08:00:00 AM,,sud,99,overcast clouds,1012,58,292.76,0.0,0.0,139,3.87
Florence,01/05/2021 08:00:00 AM,,centro_nord,100,overcast clouds,1010,84,287.62,0.0,0.0,113,0.99
Potenza,01/05/2021 08:00:00 AM,,sud,100,overcast clouds,1013,65,290.91,0.0,0.0,215,5.22
Bologna,01/05/2021 09:00:00 AM,,nord,100,overcast clouds,1010,79,288.71,0.0,0.0,11,0.69
L'Aquila,01/05/2021 09:00:00 AM,,centro_sud,100,overcast clouds,1011,64,289.84,0.0,0.0,187,1.47
Provincia di Genova,01/05/2021 09:00:00 AM,,nord,100,overcast clouds,1010,78,285.95,0.11,0.0,144,0.26
Provincia di Ancona,01/05/2021 09:00:00 AM,,centro_nord,100,overcast clouds,1010,80,289.39,0.0,0.0,355,1.06
Potenza,01/05/2021 09:00:00 AM,,sud,100,overcast clouds,1013,60,291.97,0.0,0.0,229,5.76
Catanzaro,01/05/2021 09:00:00 AM,,calabria,95,overcast clouds,1014,49,298.27,0.0,0.0,198,0.53
Valle d'Aosta,01/05/2021 09:00:00 AM,,nord,84,broken clouds,1009,81,277.99,0.0,0.0,113,1.37
Milan,01/05/2021 09:00:00 AM,,nord,83,broken clouds,1010,86,287.77,0.14,0.0,154,0.8
Provincia di Perugia,01/05/2021 09:00:00 AM,,centro_nord,100,overcast clouds,1010,82,289.34,0.0,0.0,132,0.47
Bari,01/05/2021 09:00:00 AM,,sud,100,overcast clouds,1011,55,295.11,0.0,0.0,243,2.71
Trieste,01/05/2021 09:00:00 AM,,nord,100,overcast clouds,1010,82,290.23,0.24,0.0,101,1.67
