name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Florence,27/04/2021 00:12:30 AM,26/04/2021 22:15 PM,centro_nord,75,light rain,1010,82,13.35,{'1h': 0.82},0,0,2.57
Provincia di Ancona,27/04/2021 00:15:02 AM,26/04/2021 22:15 PM,centro_nord,75,light rain,1011,88,13.52,{'1h': 0.32},0,0,1.03
L'Aquila,27/04/2021 00:14:26 AM,26/04/2021 22:15 PM,centro_sud,100,overcast clouds,1006,62,12.05,0,0,177,1.03
Rome,27/04/2021 00:12:14 AM,26/04/2021 22:15 PM,centro_sud,0,clear sky,1009,54,14.06,0,0,0,0.51
L'Aquila,27/04/2021 00:14:26 AM,26/04/2021 22:15 PM,centro_sud,100,overcast clouds,1006,62,12.05,0,0,177,1.03
Rome,27/04/2021 00:12:14 AM,26/04/2021 22:15 PM,centro_sud,0,clear sky,1009,54,14.06,0,0,0,0.51
Provincia di Campobasso,27/04/2021 00:15:03 AM,26/04/2021 22:15 PM,centro_sud,100,overcast clouds,1003,66,10.33,0,0,239,1.98
Naples,27/04/2021 00:15:03 AM,26/04/2021 22:15 PM,sud,0,clear sky,1009,59,15.4,0,0,330,2.57
Bari,27/04/2021 00:13:32 AM,26/04/2021 22:15 PM,sud,0,clear sky,1010,63,16.13,0,0,150,3.09
Potenza,27/04/2021 00:15:04 AM,26/04/2021 22:15 PM,sud,98,overcast clouds,1013,84,8.89,0,0,192,1.94
Province of Palermo,27/04/2021 00:13:20 AM,26/04/2021 22:15 PM,sicilia,100,overcast clouds,973,73,14.89,0,0,160,3.97
Sardinia,27/04/2021 00:15:04 AM,26/04/2021 22:15 PM,sardegna,90,overcast clouds,1006,94,16.0,0,0,240,1.54
Catanzaro,27/04/2021 00:14:12 AM,26/04/2021 22:15 PM,calabria,98,overcast clouds,1010,82,13.18,0,0,80,10.29
Valle d'Aosta,27/04/2021 00:30:04 AM,26/04/2021 22:30 PM,nord,100,overcast clouds,1004,79,6.56,0,0,112,1.82
Provincia di Genova,27/04/2021 00:30:04 AM,26/04/2021 22:30 PM,nord,100,overcast clouds,1009,83,12.67,0,0,37,1.34
Province of Turin,27/04/2021 00:30:05 AM,26/04/2021 22:30 PM,nord,100,light rain,1008,94,9.06,{'1h': 0.75},0,248,0.45
Milan,27/04/2021 00:30:00 AM,26/04/2021 22:30 PM,nord,75,light intensity drizzle,1012,87,11.7,0,0,110,2.06
Trento,27/04/2021 00:30:05 AM,26/04/2021 22:30 PM,nord,90,fog,1012,100,6.95,0,0,190,3.09
Venice,27/04/2021 00:30:05 AM,26/04/2021 22:30 PM,nord,40,scattered clouds,1012,82,11.63,0,0,10,2.06
Bologna,27/04/2021 00:30:06 AM,26/04/2021 22:30 PM,nord,75,light rain,1012,87,12.36,{'1h': 0.65},0,80,2.06
Trieste,27/04/2021 00:30:06 AM,26/04/2021 22:30 PM,nord,90,overcast clouds,1012,87,11.75,0,0,120,1.03
Provincia di Perugia,27/04/2021 00:30:06 AM,26/04/2021 22:30 PM,centro_nord,40,scattered clouds,1009,67,13.14,0,0,360,3.09
Florence,27/04/2021 00:26:01 AM,26/04/2021 22:30 PM,centro_nord,75,light rain,1010,82,13.23,{'1h': 0.82},0,0,2.57
Provincia di Ancona,27/04/2021 00:30:07 AM,26/04/2021 22:30 PM,centro_nord,75,light rain,1011,88,13.51,{'1h': 0.24},0,0,1.03
L'Aquila,27/04/2021 00:30:07 AM,26/04/2021 22:30 PM,centro_sud,99,overcast clouds,1006,63,11.84,0,0,182,1.0
Rome,27/04/2021 00:30:06 AM,26/04/2021 22:30 PM,centro_sud,0,clear sky,1009,54,14.32,0,0,0,0.51
L'Aquila,27/04/2021 00:30:07 AM,26/04/2021 22:30 PM,centro_sud,99,overcast clouds,1006,63,11.84,0,0,182,1.0
Rome,27/04/2021 00:30:06 AM,26/04/2021 22:30 PM,centro_sud,0,clear sky,1009,54,14.32,0,0,0,0.51
Provincia di Campobasso,27/04/2021 00:30:07 AM,26/04/2021 22:30 PM,centro_sud,100,overcast clouds,1003,67,10.14,0,0,239,1.96
Naples,27/04/2021 00:30:08 AM,26/04/2021 22:30 PM,sud,0,clear sky,1009,59,16.42,0,0,330,2.57
Bari,27/04/2021 00:30:08 AM,26/04/2021 22:30 PM,sud,0,clear sky,1010,63,16.22,0,0,150,3.09
