name,date,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed,globalhorizontalirradiance,directnormalirradiance,diffusehorizontalirradiance,globalhorizontalirradiance_2,directnormalirradiance_2,diffusehorizontalirradiance_2
Trento,08/05/2021 19:00:00 PM,nord,100,overcast clouds,1018,64,289.7,2.12,0,201,2.5,72.52,0.0,72.52,290.1,290.1,290.1
Bologna,08/05/2021 19:00:00 PM,nord,95,overcast clouds,1019,69,289.98,0.0,0,81,2.58,102.77,1.11,102.41,280.52,280.52,280.52
Trieste,08/05/2021 19:00:00 PM,nord,86,overcast clouds,1020,70,288.71,2.12,0,242,1.42,149.72,103.68,118.16,254.35,254.35,254.35
Province of Palermo,08/05/2021 19:00:00 PM,sicilia,2,clear sky,1018,61,290.28,0.0,0,10,2.37,238.85,609.23,63.2,238.85,238.85,238.85
Florence,08/05/2021 19:00:00 PM,centro_nord,47,scattered clouds,1017,55,293.7,0.0,0,16,2.23,249.06,461.59,96.64,281.97,281.97,281.97
Venice,08/05/2021 19:00:00 PM,nord,99,overcast clouds,1020,59,288.93,2.62,0,205,1.2,74.56,0.0,74.56,270.79,270.79,270.79
L'Aquila,08/05/2021 19:00:00 PM,centro_sud,95,overcast clouds,1018,85,288.62,0.0,0,80,1.54,70.25,0.0,70.25,255.18,255.18,255.18
Bari,08/05/2021 19:00:00 PM,sud,41,scattered clouds,1018,59,291.47,0.0,0,345,4.44,198.14,531.6,62.06,204.14,204.14,204.14
Rome,08/05/2021 19:00:00 PM,centro_sud,25,scattered clouds,1017,65,292.77,2.12,0,233,3.35,258.77,612.47,67.74,262.04,262.04,262.04
Provincia di Genova,08/05/2021 19:00:00 PM,nord,48,scattered clouds,1018,72,286.94,2.12,0,328,1.65,265.41,485.78,91.74,311.74,311.74,311.74
Provincia di Campobasso,08/05/2021 19:00:00 PM,centro_sud,95,overcast clouds,1019,84,289.54,2.12,0,51,1.89,76.65,5.5,75.07,236.34,236.34,236.34
Province of Turin,08/05/2021 19:00:00 PM,nord,92,overcast clouds,1020,78,284.2,0.0,0,97,0.68,139.59,28.15,128.95,335.29,335.29,335.29
Valle d'Aosta,08/05/2021 19:00:00 PM,nord,93,overcast clouds,1016,64,283.44,2.12,0,91,1.41,151.78,44.76,134.96,338.23,338.23,338.23
Naples,08/05/2021 19:00:00 PM,sud,8,clear sky,1017,61,293.28,0.0,0,258,2.0,236.49,607.24,61.81,236.52,236.52,236.52
Provincia di Perugia,08/05/2021 19:00:00 PM,centro_nord,73,broken clouds,1017,77,291.46,2.12,0,43,2.47,184.23,210.67,118.14,264.69,264.69,264.69
Catanzaro,08/05/2021 19:00:00 PM,calabria,20,few clouds,1017,68,292.09,0.0,0,296,2.18,197.6,547.62,59.33,201.42,201.42,201.42
Milan,08/05/2021 19:00:00 PM,nord,56,broken clouds,1019,55,289.61,0.0,0,112,1.94,254.47,374.1,121.09,309.69,309.69,309.69
Sardinia,08/05/2021 19:00:00 PM,sardegna,1,clear sky,1018,57,293.67,2.12,0,338,1.78,305.37,673.42,68.8,305.37,305.37,305.37
Provincia di Ancona,08/05/2021 19:00:00 PM,centro_nord,97,overcast clouds,1019,72,288.36,2.12,0,42,1.43,72.71,0.0,72.71,257.27,257.27,257.27
Provincia di Ancona,08/05/2021 20:00:00 PM,centro_nord,95,overcast clouds,1020,78,286.33,2.12,0,45,1.14,26.38,5.59,25.66,81.71,81.71,81.71
Provincia di Perugia,08/05/2021 20:00:00 PM,centro_nord,65,broken clouds,1018,85,288.7,2.12,0,41,2.48,63.33,125.99,46.58,86.32,86.32,86.32
Provincia di Campobasso,08/05/2021 20:00:00 PM,centro_sud,94,overcast clouds,1019,89,288.09,2.12,0,47,1.86,20.99,0.0,20.99,59.61,59.61,59.61
Catanzaro,08/05/2021 20:00:00 PM,calabria,19,few clouds,1018,78,289.53,0.0,0,304,2.72,27.94,78.21,23.1,28.85,28.85,28.85
Trieste,08/05/2021 20:00:00 PM,nord,89,overcast clouds,1020,77,286.51,2.12,0,231,0.68,45.39,29.67,41.48,84.78,84.78,84.78
Bari,08/05/2021 20:00:00 PM,sud,45,scattered clouds,1019,62,290.64,0.0,0,333,3.87,34.04,125.29,25.16,35.42,35.42,35.42
Province of Palermo,08/05/2021 20:00:00 PM,sicilia,2,clear sky,1018,71,286.64,0.0,0,16,1.79,53.22,226.99,32.05,53.22,53.22,53.22
