Date,DayName,Month,Holiday
2020-12-02,Wednesday,December,no
2020-12-03,Thursday,December,no
2020-12-04,Friday,December,no
2020-12-05,Saturday,December,half
2020-12-06,Sunday,December,yes
2020-12-07,Monday,December,no
2020-12-08,Tuesday,December,no
2020-12-09,Wednesday,December,no
2020-12-10,Thursday,December,no
2020-12-11,Friday,December,no
2020-12-12,Saturday,December,half
2020-12-13,Sunday,December,yes
2020-12-14,Monday,December,no
2020-12-15,Tuesday,December,no
2020-12-16,Wednesday,December,no
2020-12-17,Thursday,December,no
2020-12-18,Friday,December,no
2020-12-19,Saturday,December,half
2020-12-20,Sunday,December,yes
2020-12-21,Monday,December,no
2020-12-22,Tuesday,December,no
2020-12-23,Wednesday,December,no
2020-12-24,Thursday,December,no
2020-12-25,Friday,December,no
2020-12-26,Saturday,December,half
2020-12-27,Sunday,December,yes
2020-12-28,Monday,December,no
2020-12-29,Tuesday,December,no
2020-12-30,Wednesday,December,no
2020-12-31,Thursday,December,no
2021-01-01,Friday,January,yes
2021-01-02,Saturday,January,half
2021-01-03,Sunday,January,yes
2021-01-04,Monday,January,no
2021-01-05,Tuesday,January,yes
2021-01-06,Wednesday,January,no
2021-01-07,Thursday,January,no
2021-01-08,Friday,January,no
2021-01-09,Saturday,January,half
2021-01-10,Sunday,January,yes
2021-01-11,Monday,January,no
2021-01-12,Tuesday,January,no
2021-01-13,Wednesday,January,no
2021-01-14,Thursday,January,no
2021-01-15,Friday,January,no
2021-01-16,Saturday,January,half
2021-01-17,Sunday,January,yes
2021-01-18,Monday,January,no
2021-01-19,Tuesday,January,no
2021-01-20,Wednesday,January,no
2021-01-21,Thursday,January,no
2021-01-22,Friday,January,no
2021-01-23,Saturday,January,half
2021-01-24,Sunday,January,yes
2021-01-25,Monday,January,no
2021-01-26,Tuesday,January,no
2021-01-27,Wednesday,January,no
2021-01-28,Thursday,January,no
2021-01-29,Friday,January,no
2021-01-30,Saturday,January,half
2021-01-31,Sunday,January,yes
2021-02-01,Monday,February,no
2021-02-02,Tuesday,February,no
2021-02-03,Wednesday,February,no
2021-02-04,Thursday,February,no
2021-02-05,Friday,February,no
2021-02-06,Saturday,February,yes
2021-02-07,Sunday,February,yes
2021-02-08,Monday,February,no
2021-02-09,Tuesday,February,no
2021-02-10,Wednesday,February,no
2021-02-11,Thursday,February,no
2021-02-12,Friday,February,no
2021-02-13,Saturday,February,half
2021-02-14,Sunday,February,yes
2021-02-15,Monday,February,no
2021-02-16,Tuesday,February,no
2021-02-17,Wednesday,February,no
2021-02-18,Thursday,February,no
