Date,Renewable Generation [GWh],Energy Source
2021-06-16 16:00:00,2.61,Biomass
2021-06-16 17:00:00,2.58,Biomass
2021-06-16 18:00:00,2.58,Biomass
2021-06-16 19:00:00,2.62,Biomass
2021-06-16 20:00:00,2.54,Biomass
2021-06-16 21:00:00,2.51,Biomass
2021-06-16 22:00:00,2.43,Biomass
2021-06-16 23:00:00,2.29,Biomass
2021-06-17 00:00:00,2.08,Biomass
2021-06-17 01:00:00,2.01,Biomass
2021-06-17 02:00:00,1.93,Biomass
2021-06-17 03:00:00,1.88,Biomass
2021-06-17 04:00:00,1.87,Biomass
2021-06-17 05:00:00,1.89,Biomass
2021-06-17 06:00:00,1.99,Biomass
2021-06-17 07:00:00,2.18,Biomass
2021-06-17 08:00:00,2.46,Biomass
2021-06-17 09:00:00,2.51,Biomass
2021-06-17 10:00:00,2.50,Biomass
2021-06-17 11:00:00,2.50,Biomass
2021-06-17 12:00:00,2.38,Biomass
2021-06-17 13:00:00,2.37,Biomass
2021-06-17 14:00:00,2.50,Biomass
2021-06-17 15:00:00,2.54,Biomass
2021-06-17 16:00:00,2.61,Biomass
2021-06-17 17:00:00,2.61,Biomass
2021-06-17 18:00:00,2.66,Biomass
2021-06-17 19:00:00,2.68,Biomass
2021-06-17 20:00:00,2.69,Biomass
2021-06-17 21:00:00,2.64,Biomass
2021-06-17 22:00:00,2.54,Biomass
2021-06-17 23:00:00,2.34,Biomass
2021-06-18 00:00:00,2.21,Biomass
2021-06-18 01:00:00,2.17,Biomass
2021-06-18 02:00:00,2.16,Biomass
2021-06-18 03:00:00,2.18,Biomass
2021-06-18 04:00:00,2.23,Biomass
2021-06-18 05:00:00,2.20,Biomass
2021-06-18 06:00:00,2.30,Biomass
2021-06-18 07:00:00,2.46,Biomass
2021-06-18 08:00:00,2.69,Biomass
2021-06-18 09:00:00,2.68,Biomass
2021-06-18 10:00:00,2.68,Biomass
2021-06-18 11:00:00,2.69,Biomass
2021-06-18 12:00:00,2.63,Biomass
2021-06-18 13:00:00,2.65,Biomass
2021-06-18 14:00:00,2.76,Biomass
2021-06-18 15:00:00,2.73,Biomass
2021-06-18 16:00:00,2.84,Biomass
2021-06-18 17:00:00,2.93,Biomass
2021-06-18 18:00:00,2.90,Biomass
2021-06-18 19:00:00,2.84,Biomass
2021-06-18 20:00:00,2.84,Biomass
2021-06-18 21:00:00,2.90,Biomass
2021-06-18 22:00:00,2.73,Biomass
2021-06-18 23:00:00,2.55,Biomass
2021-06-19 00:00:00,2.29,Biomass
2021-06-19 01:00:00,2.15,Biomass
2021-06-19 02:00:00,2.00,Biomass
2021-06-19 03:00:00,1.86,Biomass
2021-06-19 04:00:00,1.86,Biomass
2021-06-19 05:00:00,1.84,Biomass
2021-06-19 06:00:00,1.87,Biomass
2021-06-19 07:00:00,1.85,Biomass
2021-06-19 08:00:00,1.86,Biomass
2021-06-19 09:00:00,1.99,Biomass
2021-06-19 10:00:00,1.98,Biomass
2021-06-19 11:00:00,2.05,Biomass
2021-06-19 12:00:00,1.98,Biomass
2021-06-19 13:00:00,1.94,Biomass
2021-06-19 14:00:00,1.84,Biomass
2021-06-19 15:00:00,1.80,Biomass
2021-06-19 16:00:00,1.77,Biomass
2021-06-19 17:00:00,1.82,Biomass
2021-06-19 18:00:00,2.00,Biomass
2021-06-19 19:00:00,2.07,Biomass
2021-06-19 20:00:00,1.97,Biomass
2021-06-19 21:00:00,1.95,Biomass
2021-06-19 22:00:00,1.88,Biomass
2021-06-19 23:00:00,1.80,Biomass
2021-06-20 00:00:00,1.63,Biomass
2021-06-20 01:00:00,1.54,Biomass
2021-06-20 02:00:00,1.49,Biomass
2021-06-20 03:00:00,1.47,Biomass
2021-06-20 04:00:00,1.45,Biomass
2021-06-20 05:00:00,1.49,Biomass
2021-06-20 06:00:00,1.43,Biomass
2021-06-20 07:00:00,1.43,Biomass
2021-06-20 08:00:00,1.38,Biomass
2021-06-20 09:00:00,1.30,Biomass
2021-06-20 10:00:00,1.29,Biomass
2021-06-20 11:00:00,1.26,Biomass
2021-06-20 12:00:00,1.27,Biomass
2021-06-20 13:00:00,1.28,Biomass
2021-06-20 14:00:00,1.27,Biomass
2021-06-20 15:00:00,1.35,Biomass
2021-06-20 16:00:00,1.35,Biomass
2021-06-20 17:00:00,1.42,Biomass
2021-06-20 18:00:00,1.49,Biomass
2021-06-20 19:00:00,1.61,Biomass
2021-06-20 20:00:00,1.73,Biomass
2021-06-20 21:00:00,1.95,Biomass
2021-06-20 22:00:00,1.89,Biomass
2021-06-20 23:00:00,1.74,Biomass
2021-06-21 00:00:00,1.65,Biomass
2021-06-21 01:00:00,1.57,Biomass
2021-06-21 02:00:00,1.58,Biomass
2021-06-21 03:00:00,1.61,Biomass
2021-06-21 04:00:00,1.57,Biomass
2021-06-21 05:00:00,1.64,Biomass
2021-06-21 06:00:00,1.91,Biomass
2021-06-21 07:00:00,2.09,Biomass
2021-06-21 08:00:00,2.18,Biomass
2021-06-21 09:00:00,2.25,Biomass
2021-06-21 10:00:00,2.22,Biomass
2021-06-21 11:00:00,2.21,Biomass
2021-06-21 12:00:00,2.11,Biomass
2021-06-21 13:00:00,2.14,Biomass
2021-06-21 14:00:00,2.20,Biomass
2021-06-21 15:00:00,2.25,Biomass
2021-06-21 16:00:00,2.36,Biomass
2021-06-21 17:00:00,2.47,Biomass
2021-06-21 18:00:00,2.55,Biomass
2021-06-21 19:00:00,2.70,Biomass
2021-06-21 20:00:00,2.67,Biomass
2021-06-21 21:00:00,2.67,Biomass
2021-06-21 22:00:00,2.46,Biomass
2021-06-21 23:00:00,2.24,Biomass
2021-06-22 00:00:00,2.06,Biomass
2021-06-22 01:00:00,1.92,Biomass
2021-06-22 02:00:00,1.87,Biomass
2021-06-22 03:00:00,1.82,Biomass
2021-06-22 04:00:00,1.76,Biomass
2021-06-22 05:00:00,1.78,Biomass
2021-06-22 06:00:00,1.93,Biomass
2021-06-22 07:00:00,2.06,Biomass
2021-06-22 08:00:00,2.38,Biomass
2021-06-22 09:00:00,2.45,Biomass
2021-06-22 10:00:00,2.42,Biomass
2021-06-22 11:00:00,2.46,Biomass
2021-06-22 12:00:00,2.46,Biomass
2021-06-22 13:00:00,2.48,Biomass
2021-06-22 14:00:00,2.64,Biomass
2021-06-22 15:00:00,2.77,Biomass
2021-06-22 16:00:00,2.80,Biomass
2021-06-22 17:00:00,2.79,Biomass
2021-06-22 18:00:00,2.95,Biomass
2021-06-22 19:00:00,2.99,Biomass
2021-06-22 20:00:00,2.95,Biomass
2021-06-22 21:00:00,2.92,Biomass
2021-06-22 22:00:00,2.79,Biomass
2021-06-22 23:00:00,2.54,Biomass
2021-06-23 00:00:00,2.34,Biomass
2021-06-23 01:00:00,2.19,Biomass
2021-06-23 02:00:00,2.13,Biomass
2021-06-23 03:00:00,2.02,Biomass
2021-06-23 04:00:00,2.00,Biomass
2021-06-23 05:00:00,2.02,Biomass
2021-06-23 06:00:00,2.14,Biomass
2021-06-23 07:00:00,2.39,Biomass
2021-06-23 08:00:00,2.50,Biomass
2021-06-23 09:00:00,2.54,Biomass
2021-06-23 10:00:00,2.54,Biomass
2021-06-23 11:00:00,2.55,Biomass
2021-06-23 12:00:00,2.60,Biomass
2021-06-23 13:00:00,2.60,Biomass
2021-06-23 14:00:00,2.67,Biomass
2021-06-23 15:00:00,2.74,Biomass
2021-06-23 16:00:00,2.87,Biomass
2021-06-23 17:00:00,2.94,Biomass
2021-06-23 18:00:00,3.02,Biomass
2021-06-23 19:00:00,3.14,Biomass
2021-06-23 20:00:00,3.05,Biomass
2021-06-23 21:00:00,3.00,Biomass
2021-06-23 22:00:00,3.00,Biomass
2021-06-23 23:00:00,2.81,Biomass
2021-06-24 00:00:00,2.63,Biomass
2021-06-24 01:00:00,2.49,Biomass
2021-06-24 02:00:00,2.38,Biomass
2021-06-24 03:00:00,2.35,Biomass
2021-06-24 04:00:00,2.32,Biomass
2021-06-24 05:00:00,2.35,Biomass
2021-06-24 06:00:00,2.40,Biomass
2021-06-24 07:00:00,2.58,Biomass
2021-06-24 08:00:00,2.67,Biomass
2021-06-24 09:00:00,2.81,Biomass
2021-06-24 10:00:00,2.83,Biomass
2021-06-24 11:00:00,2.87,Biomass
